pair,execution_order,mode,count,mean_ms,median_ms,stdev_ms,min_ms,max_ms
screen_1f1b_first,1F1B->Magellan,1F1B,14,445.5785714285714,444.4,24.182357795951752,406.5,503.7
screen_1f1b_first,1F1B->Magellan,Magellan,14,435.62857142857143,438.1,19.050274723293803,396.3,480.2
A_magellan_first,Magellan->1F1B,1F1B,14,361.74285714285713,349.7,33.78282937291607,343.9,455.6
A_magellan_first,Magellan->1F1B,Magellan,14,426.3071428571429,423.05,12.184066788904415,410.0,460.3
B_1f1b_first,1F1B->Magellan,1F1B,14,444.90714285714284,444.85,30.441203460636515,357.9,499.7
B_1f1b_first,1F1B->Magellan,Magellan,14,422.5,422.65,22.984409431679484,383.4,456.1
C_magellan_first,Magellan->1F1B,1F1B,14,398.92857142857144,401.0,51.00964356142606,324.3,465.3
C_magellan_first,Magellan->1F1B,Magellan,14,423.9785714285714,423.15,21.905081200889953,364.4,454.2
